number_episode,episode,link
55,55. Conseils pour des cheveux en bonne santé ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/32198441/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-04-25%2F45d61e19b8a90fff53b7dec64f87e64c.m4a
54,54. C'est quoi la Renaissance? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/32008937/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-04-22%2F3b327082fb55f01ab5cdbb7c01b3d53d.m4a
53,"53. Comment utiliser ""quand même""?",https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/31361921/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-04-13%2F6fd8fbb2b50276ae7554bfa7294b3cd7.m4a
52,52. Rencontre à Paris d'un couple légendaire ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/30704278/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-04-04%2F35c2d8e2968d0ff7b8db488fbbd9a275.m4a
51,51. Pourquoi la déforestation est-elle si dangereuse?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/30145449/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-28%2F023b9f099ca056936d257c2751016677.m4a
50,50. Plutôt ville ou campagne? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/29612602/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-21%2Ff423f69e306cc33af49d0bca37efe65e.m4a
49,"49. Un peu de ""French Slang""",https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/29184799/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-16%2F714556494401b64c2fcd14b9cb84161a.m4a
48,48. Conversation avec un ami belge ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/28807745/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-12%2F6074b9a2d83480b2eed39d93e1c29580.m4a
47,47. Focus sur le verbe « passer »,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/28126792/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-06%2F04d00b89bd2b9bdc35e75bb99f11a71c.m4a
46,46. Mes séries et docus du moment ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/27558225/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-03-01%2F43a083e88278bbc44ddea3a406499782.m4a
45,45. Les erreurs fréquentes en français ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/27273242/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-23%2F3b1bf0179fabef6b12ea80de22a05100.m4a
44,44. Une journée atypique !,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/27151194/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-22%2F9482b71aba4ae3cd98ebc3ee6ebd480f.m4a
43,43. Des expressions de la vie de tous les jours ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26944001/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-19%2Faff8abfbaadfbde26b923794ccc5cf21.m4a
42,42. Quand l'Amérique était française ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26837508/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-17%2F4f6c3fe11c8f00d8d6cfafa1e819d897.m4a
41,41. C'est quoi un faux-ami? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26701034/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-14%2F78370e2af7a05daa84e3b2d2713fad38.m4a
40,40. Les Français sont-ils individualistes?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26556657/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-11%2F7a3797580352f12c5b653ad349aa5190.m4a
39,39. Des conseils pour mieux comprendre les Français,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26411234/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-08%2F3a5d9d1e751812f60cd9f8cc7b562b52.m4a
38,38. Les desserts préférés des Français,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/26120781/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-02%2F675793c69239f0e88e80ba804a59f80c.m4a
37,37. C'est quoi La Belle Epoque? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25656515/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-24%2F80280a1465dfdfe564c29b9d7c10e7ff.m4a
36,36. Pourquoi la planète se réchauffe?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25654854/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-24%2F586b77246e8d4f31302d0d98e0fb03d3.m4a
